Record Length,9216,,Source,CH1
Sample Interval,0.0013020833750,,Second,Volt
,,,-8.96200000000,0.00
,,,-8.96000000000,0.00800
,,,-8.95800000000,0.06400
,,,-8.95600000000,0.01600
,,,-8.95400000000,0.01600
,,,-8.95200000000,0.03200
,,,-8.95000000000,0.03200
,,,-8.94800000000,0.01600
,,,-8.94600000000,0.04800
,,,-8.94400000000,0.06400
,,,-8.94200000000,0.06400
,,,-8.94000100000,0.08000
,,,-8.93800000000,0.04000
,,,-8.93600000000,0.03200
,,,-8.93400000000,0.04000
,,,-8.93200000000,0.07200
,,,-8.93000000000,0.04800
,,,-8.92800000000,0.07200
,,,-8.92600000000,0.03200
,,,-8.92400000000,0.00800
,,,-8.92200000000,0.03200
,,,-8.92000000000,0.00
,,,-8.91800000000,-0.05600
,,,-8.91600000000,-0.03200
,,,-8.91400100000,-0.01600
,,,-8.91200000000,-0.02400
,,,-8.91000000000,-0.04800
,,,-8.90800000000,-0.05600
,,,-8.90600000000,-0.05600
,,,-8.90400000000,-0.09600
,,,-8.90200000000,-0.09600
,,,-8.90000100000,-0.06400
,,,-8.89800000000,-0.10400
,,,-8.89600000000,-0.09600
,,,-8.89400000000,-0.09600
,,,-8.89200000000,-0.08800
,,,-8.89000000000,-0.11200
,,,-8.88800000000,-0.04800
,,,-8.88600000000,-0.06400
,,,-8.88400000000,-0.10400
,,,-8.88200000000,-0.09600
,,,-8.88000000000,-0.10400
,,,-8.87800000000,-0.14400
,,,-8.87600000000,-0.08800
,,,-8.87400100000,-0.08000
,,,-8.87200000000,-0.04000
,,,-8.87000000000,-0.07200
,,,-8.86800000000,-0.07200
,,,-8.86600000000,-0.04000
,,,-8.86400000000,-0.03200
,,,-8.86200000000,0.00800
,,,-8.86000100000,-0.00800
,,,-8.85800000000,0.02400
,,,-8.85600000000,-0.01600
,,,-8.85400000000,0.03200
,,,-8.85200000000,0.01600
,,,-8.85000000000,-0.02400
,,,-8.84800100000,0.05600
,,,-8.84600000000,0.03200
,,,-8.84400000000,0.10400
,,,-8.84200000000,0.06400
,,,-8.84000000000,0.06400
,,,-8.83800000000,0.06400
,,,-8.83600000000,0.04800
,,,-8.83400100000,0.08000
,,,-8.83200000000,0.07200
,,,-8.83000000000,0.00800
,,,-8.82800000000,0.09600
,,,-8.82600000000,0.03200
,,,-8.82400000000,0.03200
,,,-8.82200100000,0.03200
,,,-8.82000100000,0.03200
,,,-8.81800000000,0.03200
,,,-8.81600000000,-0.05600
,,,-8.81400000000,-0.12000
,,,-8.81200000000,-0.05600
,,,-8.81000000000,-0.05600
,,,-8.80800100000,-0.09600
,,,-8.80600000000,-0.08000
,,,-8.80400000000,-0.16800
,,,-8.80200000000,-0.12800
,,,-8.80000000000,-0.12000
,,,-8.79800000000,-0.12000
,,,-8.79600000000,-0.06400
,,,-8.79400100000,-0.08800
,,,-8.79200000000,-0.08000
,,,-8.79000000000,-0.08800
,,,-8.78800000000,-0.07200
,,,-8.78600000000,-0.07200
,,,-8.78400000000,-0.06400
,,,-8.78200100000,-0.06400
,,,-8.78000100000,-0.03200
,,,-8.77800000000,-0.01600
,,,-8.77600000000,0.00800
,,,-8.77400000000,-0.00800
,,,-8.77200000000,-0.04000
,,,-8.77000000000,-0.04800
,,,-8.76800100000,-0.02400
,,,-8.76600000000,0.03200
,,,-8.76400000000,0.00800
,,,-8.76200000000,0.00
,,,-8.76000000000,0.03200
,,,-8.75800000000,0.03200
,,,-8.75600100000,0.04000
,,,-8.75400100000,0.03200
,,,-8.75200000000,0.05600
,,,-8.75000000000,0.06400
,,,-8.74800000000,0.08000
,,,-8.74600000000,0.12000
,,,-8.74400000000,0.04800
,,,-8.74200100000,0.02400
,,,-8.74000100000,0.03200
,,,-8.73800000000,0.04800
,,,-8.73600000000,0.06400
,,,-8.73400000000,0.06400
,,,-8.73200000000,0.00800
,,,-8.73000000000,0.01600
,,,-8.72800100000,0.01600
,,,-8.72600000000,0.03200
,,,-8.72400000000,-0.05600
,,,-8.72200000000,-0.00800
,,,-8.72000000000,-0.01600
,,,-8.71799900000,-0.03200
,,,-8.71600000000,-0.06400
,,,-8.71400000000,-0.11200
,,,-8.71199900000,-0.06400
,,,-8.70999900000,-0.11200
,,,-8.70799900000,-0.04800
,,,-8.70599900000,-0.05600
,,,-8.70400000000,-0.06400
,,,-8.70200000000,-0.08800
,,,-8.70000000000,-0.08000
,,,-8.69799900000,-0.04800
,,,-8.69599900000,-0.10400
,,,-8.69399900000,-0.08000
,,,-8.69199900000,-0.08800
,,,-8.69000000000,-0.07200
,,,-8.68800000000,-0.10400
,,,-8.68599900000,-0.09600
,,,-8.68399900000,-0.05600
,,,-8.68199900000,-0.05600
,,,-8.67999900000,-0.05600
,,,-8.67799900000,0.00800
,,,-8.67600000000,-0.02400
,,,-8.67400000000,-0.00800
,,,-8.67199900000,-0.03200
,,,-8.66999900000,-0.01600
,,,-8.66799900000,-0.00800
