75999513;-24;-15;-4;-18;-1;4;2;-14;
76000612;-3;-4;-16;-4;0;-9;-5;-3;
76001714;3;46;2;0;2;-2;4;16;
76002805;8;-17;-9;-5;7;0;12;-5;
76003908;5;9;16;9;-2;0;9;4;
76005019;-9;-14;-4;-1;-6;0;-20;4;
76006116;7;-36;4;4;7;0;3;-6;
76007219;-13;-17;0;-9;-4;-17;-15;-12;
76008322;2;1;14;11;4;1;17;4;
76009448;5;-5;-6;3;0;4;4;1;
76010570;-4;-12;-7;-33;1;-2;-12;-10;
76011666;-13;-17;-4;2;-7;-7;-4;-2;
76012786;84;77;72;68;85;84;72;70;
76013902;8;2;4;-1;0;5;11;-23;
76015006;-1;12;4;-1;3;-16;4;2;
76016109;-5;-13;-8;0;-13;-13;-8;-4;
76017215;-19;-5;0;5;6;-15;-17;-15;
76018326;-7;-7;11;11;6;2;0;-7;
76019443;-19;-19;-20;-21;-16;-14;-3;-15;
76020539;4;-5;1;-5;8;0;-5;-3;
76021646;-11;-10;-14;-11;-2;3;-9;-11;
76022754;6;5;0;0;9;5;9;2;
76023852;-42;-41;-54;-46;-45;-51;-49;-55;
76024966;-8;-6;-4;-9;10;-6;-7;3;
76026058;9;0;1;0;14;23;0;5;
76027177;-18;-3;0;-13;2;-14;-11;-11;
76028294;3;5;-7;1;7;3;0;-11;
76029401;0;13;17;10;1;5;6;12;
76030526;-1;-16;-7;-3;-9;0;1;-12;
76031628;9;10;-3;9;-6;-29;10;-5;
76032735;11;-5;5;-5;-4;3;18;-9;
76033835;8;-1;7;-9;15;0;4;-6;
76034947;12;3;16;-3;-3;8;-12;-2;
76036041;-21;-9;-8;-21;3;-16;-22;-21;
76037154;-3;-19;-7;-7;4;-16;-11;-7;
76038247;9;5;42;11;11;1;1;18;
76039349;9;-12;4;11;4;-3;8;3;
76040468;-21;-3;-4;3;0;16;-1;-9;
76041575;0;-27;14;-4;9;0;4;12;
76042693;2;1;17;1;4;-1;2;-13;
76043787;-16;3;0;5;13;-13;-4;-9;
76044890;10;2;10;3;6;6;-3;-7;
76045994;2;-3;7;5;-1;0;4;20;
76047101;16;4;-5;-1;18;-6;12;8;
76048207;3;-11;-7;10;4;-3;4;2;
76049316;-7;-12;-18;-4;-6;-17;-22;-16;
76050428;-13;-19;-4;-21;-11;-15;-21;-22;
76051526;-4;-8;0;-10;-12;-13;-1;-13;
76052646;-9;-13;-6;7;-3;-6;2;-18;
76053763;-5;-3;-7;-25;4;-16;-8;-21;
76054876;-4;-14;-14;-12;0;-14;0;-2;
76055991;9;0;0;-4;21;17;5;8;
76057114;-6;10;-6;-7;20;15;-6;-6;
76058210;-18;-8;-10;-5;-10;-5;-1;-1;
76059310;-6;-3;-6;-6;11;-8;10;7;
76060440;-6;-10;-2;-25;-13;-11;-9;-11;
76061548;-22;2;4;9;17;9;4;3;
76062636;2;-21;0;-11;-12;-2;-11;1;
76063729;5;-6;-4;-9;-3;15;-9;-8;
76064835;1;-4;-12;8;-13;-11;-46;-15;
76065966;-3;0;2;-5;-5;13;5;-10;
76067069;1;19;-2;-2;7;36;12;0;
76068167;2;14;21;12;13;5;9;12;
76069272;26;-17;-12;-111;6;-8;-15;-2;
76070377;3;-3;-3;-7;4;-3;36;-3;
76071492;4;3;-31;9;0;-2;9;59;
76072608;19;-29;1;5;1;1;9;0;
76073713;14;1;1;26;6;11;5;2;
76074823;-16;-9;4;-21;-6;3;-14;-1;
76075916;15;4;18;5;19;23;4;10;
76077017;-2;0;-6;-21;12;-4;-11;2;
76078140;1;0;-11;-11;5;-7;-9;-4;
76079261;7;0;7;-13;-12;-18;-5;-2;
76080361;6;-3;13;0;5;10;-7;8;
76081500;-4;-9;-10;-10;-9;-30;-9;0;
76082611;-4;-4;8;8;13;-12;-39;-5;
76083735;-11;3;6;-1;4;-8;-11;-11;
76084843;-11;-18;-2;-17;5;-16;-17;-20;
76085948;-11;-13;0;-14;-6;-14;0;-13;
76087051;-9;-17;11;17;-1;8;4;1;
76088160;-5;10;-4;1;14;-4;8;-3;
76089264;5;12;16;-2;15;-38;-2;2;
76090364;0;2;13;-3;6;-1;-3;-3;
76091495;-3;6;2;3;-25;-7;-27;-2;
76092604;-6;-18;-12;-13;-4;-5;-16;-18;
76093670;-6;-3;-9;-1;0;-4;0;-8;
76094721;8;8;14;2;5;9;3;0;
76095822;13;15;3;27;-80;15;23;8;
76096911;13;9;13;17;6;4;14;82;
76098034;-11;-9;-4;3;4;0;7;-7;
76099141;-38;-28;-26;-36;-24;-24;-26;-5;
76100254;-1;4;-5;3;17;11;10;14;
76101344;2;-10;-11;-23;-15;2;2;-14;
76102448;0;0;-3;-9;16;-8;8;-4;
76103558;0;16;8;-6;9;10;41;0;
76104663;-11;-5;13;-4;5;0;2;-1;
76105786;-3;-9;-4;3;-3;-16;-8;-5;
76106900;-8;-8;1;5;-13;13;0;-6;
76107990;2;8;-8;4;16;-22;1;-5;
76109088;1;10;-5;2;13;2;12;6;
76110192;-7;3;-4;-4;7;-5;-1;-6;
76111285;-8;-24;8;7;6;6;-9;-6;
76112400;5;3;7;-1;0;10;4;-13;
76113505;-10;6;-6;1;-8;-11;-6;-11;
76114611;3;-5;-2;-9;7;-5;-9;-9;
76115705;10;7;7;3;26;9;7;7;
76116808;2;-10;-10;15;4;3;-7;-17;
76117902;-13;2;-13;-13;-4;10;-17;-13;
76119010;-1;19;0;-2;9;20;20;-6;
76120113;-5;-6;-1;-14;-14;-3;-2;-3;
76121190;2;10;-13;-13;-4;5;-6;-4;
76122298;-4;5;4;17;4;4;7;7;
76123372;-13;-18;-16;-1;-7;-14;96;-15;
76124494;4;5;1;21;14;6;-2;12;
76125596;-2;-4;3;-3;3;-3;-3;-5;
76126708;10;14;17;0;9;0;5;-7;
76127819;4;3;5;24;7;2;9;-4;
76128917;18;15;-3;14;-3;3;-3;-11;
76129993;-11;-4;-10;-4;-17;-22;-24;-24;
76131099;-17;-4;-13;-10;-2;-2;-12;-24;
76132197;-10;-7;-7;-10;-28;-1;-10;-5;
76133291;-8;-12;-5;-5;-13;-8;-6;-6;
76134395;0;-1;-1;2;9;-1;14;-3;
76135517;7;3;12;0;7;7;-2;1;
76136606;1;6;8;-9;-10;0;6;-9;
76137740;2;4;5;-1;2;5;8;14;
76138851;-12;-2;-7;-12;-7;-10;-10;-9;
76139960;-7;-16;6;-14;-3;-19;-16;-38;
76141067;3;11;15;-10;3;-10;10;-6;
76142170;-10;-23;-8;-18;3;-11;-21;2;
76143266;29;3;-2;13;19;7;13;4;
76144357;20;-7;-13;-13;9;-5;-12;-5;
76145483;0;-2;-1;-6;-13;-9;3;-8;
76146593;-13;-2;-1;-24;-5;-13;-11;1;
76147686;-22;-25;-33;-38;-23;-29;-36;-33;
76148806;1;-1;7;-10;-2;-2;3;-35;
76149936;-28;-13;-22;-23;50;-32;-28;-19;
76151049;-3;14;-2;5;-38;-8;3;-8;
76152154;-25;-12;-4;-11;-19;-13;11;-3;
76153268;4;19;12;6;12;23;-2;12;
76154379;-8;-8;10;5;-5;-8;-8;-5;
76155523;-5;5;3;-5;1;-7;10;12;
76156633;-6;-1;-24;-16;-2;-16;-2;1;
76157736;-3;-13;28;0;4;3;-2;65;
76158860;9;-2;6;9;52;11;8;-4;
76159976;3;-10;-3;-2;0;7;3;1;
76161075;-3;-1;2;91;3;-12;-12;-12;
76162165;-11;-11;15;-11;2;-11;-5;-15;
76163257;2;2;-3;0;0;6;-3;2;
76164379;-5;-17;-10;-11;-2;-2;0;-3;
76165485;-5;-1;4;1;-5;-5;-5;-4;
76166614;-30;-21;-14;-41;-42;-46;-36;-42;
76167698;25;42;18;17;29;42;28;25;
76168813;-6;-10;-4;-13;-14;-17;-14;37;
76169920;-6;-6;5;-1;4;-2;3;-9;
76171010;1;5;0;6;14;3;2;5;
76172136;-16;-22;-5;-9;-13;-18;-14;-9;
76173237;-4;0;-4;-13;-13;-9;-17;-3;
76174349;-9;-1;-4;0;13;-9;-9;-3;
76175483;-3;-2;15;0;5;6;-4;2;
76176596;12;5;-4;23;19;9;19;9;
76177722;-7;-3;-15;-5;-11;0;-10;-9;
76178827;-8;-6;9;2;2;9;-4;-3;
76179952;-11;-5;-20;-7;4;-18;-19;-15;
76181080;2;4;-6;6;5;3;-5;3;
76182193;11;3;9;-2;0;3;4;10;
76183307;2;-13;-16;-9;-10;-20;-6;-20;
76184444;-5;58;-30;-1;-1;-6;11;-1;
76185554;-5;-5;3;0;-17;0;-9;21;
76186661;-14;-14;-13;-3;-17;-19;-23;-18;
76187770;3;-14;-5;7;3;0;7;-14;
76188863;1;1;35;3;-2;14;7;-1;
76189964;0;0;-3;0;14;0;-3;0;
76191067;0;5;-4;0;7;-4;3;0;
76192188;4;-22;13;-2;2;-5;-1;13;
76193311;0;0;22;3;26;5;6;16;
76194414;-9;0;2;6;7;1;-4;-11;
76195516;2;0;-4;23;-1;11;1;1;
76196617;6;1;1;-7;0;-17;-12;0;
76197711;-9;-5;1;-6;-10;-2;1;-23;
76198808;19;6;3;0;6;-7;-15;4;
76199931;-4;-3;21;0;-9;-2;9;10;
